ID     NAME                                     NAME_EN
--------------------------------------------------------------------------------
7      măng                                     bamboo shoots
9      cà chua                                  tomato
10     xương gà                                 chicken bones
16     hành lá                                  green onion
21     rau răm                                  vietnamese coriander
24     ớt                                       chili pepper
25     bông cải                                 broccoli
26     nấm mèo                                  wood ear mushroom
28     dứa                                      pineapple
29     tỏi                                      garlic
31     sả                                       lemongrass
39     gừng                                     ginger
41     cua                                      crab
50     lạp xưởng                                chinese sausage
52     đậu que                                  green beans
62     sườn heo                                 pork ribs
63     đậu đen                                  black beans
65     rau má                                   pennywort
67     chanh                                    lime
71     đậu hũ                                   tofu
73     khoai muống                              water spinach stem
78     bắp ngọt                                 sweet corn
80     tai heo                                  pork ear
81     cà rốt                                   carrot
82     cóc                                      ambarella fruit
83     hành tím                                 shallot
98     bò viên                                  beef balls
102    rau ngò rí                               coriander leaves
105    rau ngổ                                  rice paddy herb
109    táo                                      apple
110    hạt óc chó                               walnut
116    da heo                                   pork skin
120    bột tỏi                                  garlic powder
121    bột                                      flour
125    wasabi                                   wasabi paste
133    nạm bò                                   beef brisket
136    cải thìa                                 bok choy
139    bạc hà                                   mint
140    lá giang                                 giang leaves
142    bò                                       beef
146    trứng                                    egg
149    heo                                      pork
150    lá lốt                                   betel leaves
151    nấm                                      mushroom
164    cải bó xôi                               spinach
166    hành tây                                 onion
170    mirin                                    mirin
177    bột rau câu                              agar powder
183    ngũ vị hương                             five spice powder
191    su su                                    chayote
195    bầu                                      bottle gourd
199    nấm đông cô                              shiitake mushroom
202    hoa chuối                                banana blossom
203    xoài                                     mango
206    đậu phộng                                peanut
215    khoai tây                                potato
216    hộp đậu trắng                            canned white beans
220    kèo nèo                                  water lily stem
224    cá hú                                    pangasius fish
225    dấm                                      vinegar
232    đuôi heo                                 pork tail
233    củ cải                                   radish
238    chả cá                                   fish cake
243    cá hường                                 snapper
245    dưa leo                                  cucumber
248    cá đuối                                  stingray
262    nấm đùi gà                               king oyster mushroom
268    xương heo                                pork bones
273    giò heo                                  pork hock
279    đậu                                      beans
281    nọng heo                                 pork jowl
285    nước dừa                                 coconut water
286    củ hũ dừa                                coconut core
289    rau muống                                water spinach
291    chả lụa                                  vietnamese ham
299    cải bắp                                  cabbage
309    bí đỏ                                    pumpkin
312    kim chi                                  kimchi
315    sườn bò                                  beef ribs
324    su hào                                   kohlrabi
327    hạt mùi                                  coriander seeds
350    thì là                                   dill
351    đậu hà lan                               peas
353    cần tây                                  celery
354    nấm rơm                                  straw mushroom
355    hạt điều                                 cashew
357    tôm                                      shrimp
360    đậu xanh                                 mung beans
362    thịt vai                                 pork shoulder
366    mướp                                     luffa
371    giá                                      bean sprouts
377    dưa chua                                 pickled mustard
383    nghêu                                    clam
384    cá bông lau                              pangasius fish
387    cải xoăn                                 kale
389    bún                                      rice vermicelli
395    dầu ô liu                                olive oil
397    bacon                                    bacon
398    kem                                      cream
411    bí                                       squash
416    cá khoai                                 silver whiting
421    mơ                                       apricot
422    ớt hiểm                                  bird chili
429    dầu màu điều                             annatto oil
457    ớt chuông                                bell pepper
